,neighborhood,%inc_rac,public_housing,pc,Foreign-born population,Median household income ($2016),"Median rent, all ($2016)",Percent Asian,Percent Hispanic,Percent black,Percent white,Population aged 25+ with a bachelor's degree or higher,Population aged 25+ without a high school diploma,"Population density (1,000 persons per square mile)",Poverty rate,Racial diversity index,Unemployment rate,entropy_index,avg_entropy
13,East Harlem,0.011165198726709362,1,1,0.22112616983333333,29675.833333333332,743.3333333333334,0.05788305858333334,0.43864786800000005,0.2803260788333333,0.121274287,0.2560343178333333,0.2738351943333333,48.37413569583333,0.29419250375,0.5992314747499999,0.10845931033333334,0.013318861546734723,1.1522992501362017
14,East New York/Starrett City,0.0001125072832100151,1,1,0.3203467545,33402.5,984.1666666666666,0.041070194166666664,0.35004644225000003,0.4632108735,0.04163567708333334,0.12760771266666668,0.22693455099999996,24.297367085000005,0.26962686099999994,0.544013609,0.08957090150000001,0.00014309868944812292,0.9889607180359435
15,Elmhurst/Corona,-0.004347783012043749,0,2,0.59354982625,42953.333333333336,1241.6666666666667,0.30415348550000004,0.4623754740833334,0.06213959908333333,0.07187412941666668,0.19284776416666663,0.2861264585,35.6797981175,0.18044106549999997,0.57083122125,0.05922560508333333,-0.005424878575263576,1.0911991569426096
16,Flatbush,0.004466807067274203,0,2,0.4048037871666666,43178.333333333336,1101.6666666666667,0.08170539916666666,0.13407899008333332,0.3126280646666667,0.368023555,0.301162152,0.16627025966666667,51.37997362666666,0.19611235400000004,0.6341635561666666,0.07544143475,0.003769493355472689,1.2281800521674657
17,Flatlands/Canarsie,-0.0015594014295559268,1,1,0.36392947383333335,62635.0,1160.0,0.031786743666666666,0.06805762491666667,0.5647581434166666,0.23849528008333332,0.26628027075,0.11889883799999999,13.703186865,0.10101172483333333,0.4990670989166666,0.06881289683333332,0.0009069716622186777,0.9565211156717622
18,Flushing/Whitestone,-0.008332495346951968,0,0,0.50875724625,51774.166666666664,1286.6666666666667,0.43766699625,0.15820881500000003,0.020519527416666666,0.28101665366666667,0.27078802074999997,0.1882027189166667,19.509371985833333,0.12659852125,0.5881305042499999,0.06917976699999999,-0.007153800749574179,1.0915517138374577
19,Greenwich Village/Financial District,-0.005495751319771455,0,2,0.22073696908333337,109262.5,1696.6666666666667,0.147511811,0.05754330908333333,0.02125554708333333,0.6633255531666666,0.7261742887500001,0.04482660583333333,45.66748173249999,0.07900786008333334,0.4079382235833333,0.04128695041666667,-0.007318788277528349,0.7805986554872127
20,Highbridge/South Concourse,,0,0,0.3780613312499999,26150.833333333332,943.3333333333334,0.01223594125,0.4745947845,0.23931602341666666,0.010761311166666667,0.11149730733333334,0.34762058999999995,65.07619647416665,0.33181332575,0.37161588225,0.11471864466666669,,
21,Hillcrest/Fresh Meadows,0.00448710991410308,0,0,0.42841387941666675,57490.0,1220.8333333333333,0.29189700933333335,0.16533042141666665,0.10800134874999999,0.31627992800000004,0.36338973449999995,0.12516213299999998,18.81193164,0.11238666766666666,0.6700812575,0.08105139166666667,0.001944153113943702,1.289247492520034
22,Jackson Heights,-0.006300784832017247,0,2,0.5638691445833334,48155.833333333336,1246.6666666666667,0.15306507183333334,0.5926492254166668,0.052130844833333335,0.10359777933333332,0.18650876558333332,0.27464508416666666,40.904489545833336,0.16484741875,0.4922133858333333,0.06756250108333332,-0.00801717585221245,0.9846528387233563
